idx	accession	name	source_database	pfam	total	cumsum	result_num	selected_pfam	name_pfam
102	CL0125	Peptidase_CA	pfam	94	94	4161	77	PF16374	Cycle inhibiting factor (CIF)
131	CL0159	E-set	pfam	431	431	4948	53	PF04234	CopC domain
426	CL0504	Phage_barrel	pfam	40	40	8614	28	PF20195	Phage tail protein N-terminal domain
281	CL0329	S5	pfam	20	20	7649	15	PF10509	Galactokinase galactose-binding signature
355	CL0411	Vir	pfam	2	2	8214	1	PF06022	Plasmodium variant antigen protein Cir/Yir/Bir
50	CL0064	CPA_AT	pfam	16	16	2599	11	PF05982	Na+dependent bicarbonate transporter superfamily
67	CL0083	Omega_toxin	pfam	37	37	2899	28	PF11581	"Antagonist of EGFR signalling, Argos"
88	CL0108	Actin_ATPase	pfam	40	40	3261	13	PF02782	"FGGY family of carbohydrate kinases, C-terminal domain"
541	CL0646	T3SS	pfam	5	5	9136	4	PF21439	"Protein MxiC, C-terminal"
103	CL0126	Peptidase_MA	pfam	80	80	4241	76	PF20565	Probable metallopeptidase family (DUF6775)
156	CL0188	CH	pfam	11	11	5681	6	PF11971	CAMSAP CH domain
1	CL0003	SAM	pfam	18	18	47	6	PF09235	"Ste50p, sterile alpha motif"
100	CL0123	HTH	pfam	507	507	4041	499	PF22939	"GPI inositol-deacylase, winged helix domain"
109	CL0132	AbrB	pfam	5	5	4307	3	PF14250	AbrB-like transcriptional regulator
19	CL0028	AB_hydrolase	pfam	81	81	1399	10	PF01764	Lipase (class 3)
14	CL0022	LRR	pfam	20	20	1011	4	PF07723	Leucine Rich Repeat
293	CL0343	MHC	pfam	8	8	7728	5	PF16497	MHC-I family domain
12	CL0020	TPR	pfam	401	401	840	6	PF00806	Pumilio-family RNA binding repeat
90	CL0110	GT-A	pfam	58	58	3354	20	PF03360	Glycosyltransferase family 43
10	CL0016	PKinase	pfam	42	42	436	24	PF08757	CotH kinase protein
218	CL0260	NTP_transf	pfam	42	42	6881	34	PF20750	Poly(A) polymerase nucleotidyltransferase domain
566	CL0672	p35	pfam	9	9	9295	8	PF21722	Glycine-rich domain
49	CL0063	NADP_Rossmann	pfam	278	278	2583	236	PF17174	Domain of unknown function (DUF5130)
142	CL0172	Thioredoxin	pfam	71	71	5233	46	PF13728	F plasmid transfer operon protein
169	CL0202	GBD	pfam	108	108	6077	7	PF02018	Carbohydrate binding domain
12	CL0020	TPR	pfam	401	401	840	281	PF18777	Chromosome region maintenance or exportin repeat
88	CL0108	Actin_ATPase	pfam	40	40	3261	35	PF21522	"Archaeal actin homologue MreB-like, C-terminal"
170	CL0203	CBD	pfam	7	7	6084	6	PF22321	"Zonadhesin, second cohesin-like domain"
142	CL0172	Thioredoxin	pfam	71	71	5233	35	PF09695	Bacterial protein of unknown function (YtfJ_HI0045)
15	CL0023	P-loop_NTPase	pfam	265	265	1276	86	PF03976	Polyphosphate kinase 2 (PPK2)
135	CL0165	Cache	pfam	34	34	5020	23	PF17157	Gammaproteobacterial periplasmic sensor domain
198	CL0236	PDDEXK	pfam	161	161	6685	77	PF09562	LlaMI restriction endonuclease
165	CL0198	HHH	pfam	38	38	5947	26	PF21176	"RecR, helix-hairpin-helix"
15	CL0023	P-loop_NTPase	pfam	265	265	1276	80	PF03567	Sulfotransferase family
188	CL0226	M6PR	pfam	5	5	6409	1	PF02157	Mannose-6-phosphate receptor
368	CL0425	ComplexI-N	pfam	3	3	8265	2	PF10125	"NADH dehydrogenase I, subunit N related protein"
137	CL0167	Zn_Beta_Ribbon	pfam	107	107	5129	97	PF21344	"Alpha-aminoadipate carrier protein LysW-like, globular domain"
38	CL0051	NTF2	pfam	58	58	2013	18	PF10429	Nuclear pore RNA shuttling protein Mtr2
6	CL0012	Histone	pfam	17	17	339	10	PF09123	Domain of unknown function (DUF1931)
181	CL0219	RNase_H	pfam	91	91	6293	12	PF02075	Crossover junction endodeoxyribonuclease RuvC
600	CL0708	Polo-box	pfam	9	9	9445	0	PF00659	POLO box duplicated region
131	CL0159	E-set	pfam	431	431	4948	380	PF22067	Cep192 domain 3
131	CL0159	E-set	pfam	431	431	4948	319	PF19408	PKD-like domain
277	CL0324	Homing_endonuc	pfam	7	7	7589	0	PF00961	LAGLIDADG endonuclease
329	CL0381	Metallo-HOrase	pfam	10	10	8099	5	PF14597	Metallo-beta-lactamase superfamily
15	CL0023	P-loop_NTPase	pfam	265	265	1276	45	PF01712	Deoxynucleoside kinase
5	CL0010	SH3	pfam	172	172	322	114	PF18115	DNA repair protein Crb2 Tudor domain
100	CL0123	HTH	pfam	507	507	4041	59	PF02742	"Iron dependent repressor, metal binding and dimerisation domain"
279	CL0327	Pilus	pfam	21	21	7618	17	PF22150	Type IV pilin Tt1218
25	CL0036	TIM_barrel	pfam	193	193	1742	93	PF03437	BtpA family
154	CL0186	Beta_propeller	pfam	175	175	5663	127	PF16261	Domain of unknown function (DUF4915)
